id,cmy,cmx
commonwealth:3f463217b,10,8
commonwealth:xg94j223v,12,9
commonwealth:f4757j204,16,9
commonwealth:794083254,18,9
commonwealth:q524n340p,36,9
commonwealth:9s161f052,17,10
commonwealth:0r96fq53w,6,10
commonwealth:1257b939f,15,10
commonwealth:9s161g899,15,10
commonwealth:z029v493j,18,10
commonwealth:8336h2688,9,11
commonwealth:8336h288r,9,11
commonwealth:4m90fp672,14,11
commonwealth:9s161875q,24,11
commonwealth:q524n2375,24,11
commonwealth:q524n239q,24,11
commonwealth:q524n241r,24,11
commonwealth:q524n2439,24,11
commonwealth:q524n245v,24,11
commonwealth:q524n247d,24,11
commonwealth:q524n249z,24,11
commonwealth:q524n2510,24,11
commonwealth:q524n253j,24,11
commonwealth:q524n2553,24,11
commonwealth:q524n257n,24,11
commonwealth:q524n258x,24,11
commonwealth:q524n260z,24,11
commonwealth:q524n262h,24,11
commonwealth:q524n2642,24,11
commonwealth:q524n266m,24,11
commonwealth:q524n298w,24,11
commonwealth:q524n300q,24,11
commonwealth:q524n312h,24,11
commonwealth:q524n3142,24,11
commonwealth:4m90fp65h,17,11
commonwealth:q524n412q,17,11
commonwealth:3f463741f,18,11
commonwealth:3f463745j,18,11
commonwealth:9s161d89w,20,11
commonwealth:9s161j55w,25,11
commonwealth:kk91fs56p,80,11
commonwealth:6t053q860,9,12
commonwealth:wd376502m,12,12
commonwealth:8336h256g,15,12
commonwealth:cj82kx19t,17,12
commonwealth:cj82kx23d,17,12
commonwealth:3f4632871,18,12
commonwealth:9s1618892,18,12
commonwealth:cj82kx21v,18,12
commonwealth:cj82kx25z,18,12
commonwealth:fj23c429v,20,12
commonwealth:0r96fq456,53,12
commonwealth:b85163031,123,12
commonwealth:kk91fs62t,155,12
commonwealth:3f4635543,8,13
commonwealth:3f463556n,8,13
commonwealth:3f4635586,8,13
commonwealth:3f4635607,8,13
commonwealth:9s161f07m,10,13
commonwealth:x059cc944,13,13
commonwealth:1257bb49w,16,13
commonwealth:q524n3028,16,13
commonwealth:4m90f264h,18,13
commonwealth:x633m4310,20,13
commonwealth:ht250453x,21,13
commonwealth:0r96fq47r,8,14
commonwealth:0r96fq502,9,14
commonwealth:fn107c48h,10,14
commonwealth:q524n331q,10,14
commonwealth:8336h272v,11,14
commonwealth:8336h274d,11,14
commonwealth:ht250447s,11,14
commonwealth:cj82m121n,12,14
commonwealth:cj82m1236,12,14
commonwealth:cj82m125r,12,14
commonwealth:cj82m131w,12,14
commonwealth:7h149v28b,16,14
commonwealth:9s161d97k,16,14
commonwealth:8336h338r,17,14
commonwealth:0z709588c,18,14
commonwealth:3f4630674,18,14
commonwealth:3f463069p,18,14
commonwealth:3f4630738,18,14
commonwealth:3f463077c,18,14
commonwealth:3f463083h,18,14
commonwealth:3f463093r,18,14
commonwealth:3f463099d,18,14
commonwealth:kk91fq151,18,14
commonwealth:1257b937w,19,14
commonwealth:4m90f401n,19,14
commonwealth:4742gc37n,20,14
commonwealth:4m90fc22v,20,14
commonwealth:ht250c39j,20,14
commonwealth:ht250c41k,20,14
commonwealth:kk91fq13g,20,14
commonwealth:gt54rq27r,21,14
commonwealth:xg94pt764,21,14
commonwealth:cj82kn91w,22,14
commonwealth:ht250608h,22,14
commonwealth:kk91fq07b,22,14
commonwealth:kk91fq194,22,14
commonwealth:n5843w91q,22,14
commonwealth:2801vh782,23,14
commonwealth:m326s3925,27,14
commonwealth:st74cw36c,29,14
commonwealth:wd376807m,29,14
commonwealth:q524n2090,11,15
commonwealth:q524n2111,11,15
commonwealth:q524n213k,11,15
commonwealth:q524n2154,11,15
commonwealth:q524n217p,11,15
commonwealth:q524n2197,11,15
commonwealth:q524n2218,11,15
commonwealth:q524n223t,11,15
commonwealth:q524n225c,11,15
commonwealth:q524n227x,11,15
commonwealth:q524n229g,11,15
commonwealth:q524n231h,11,15
commonwealth:q524n2332,11,15
commonwealth:q524n235m,11,15
commonwealth:0z7096526,7,15
commonwealth:q524n1786,8,15
commonwealth:w9505r97j,8,15
commonwealth:4m90fp66s,10,15
commonwealth:8336h276z,11,15
